POINTS,COORDINATE,DISTANCE,ANGLE
161,"(248.90851913858998, 252.01610104664937)",1.07,179
162,"(249.6132959949148, 252.80876104452335)",1.06,179
163,"(250.33189202356584, 253.5757746877406)",1.05,178
164,"(251.06513528844008, 254.31528713035433)",1.04,178
165,"(251.81385385343435, 255.0254435264177)",1.03,178
166,"(252.57887578244544, 255.70438902998404)",1.02,178
167,"(253.3610291393702, 256.3502687951065)",1.01,178
168,"(254.16114198810547, 256.9612279758383)",1.01,178
169,"(254.98004239254809, 257.5354117262328)",1.0,178
170,"(255.81855841659495, 258.07096520034304)",0.99,177
171,"(256.6775181241428, 258.56603355222234)",0.99,177
172,"(257.5577495790887, 259.0187619359239)",0.99,177
173,"(258.4600808453292, 259.4272955055009)",0.99,177
174,"(259.3853399867613, 259.7897794150067)",0.99,177
175,"(260.3343396234182, 260.1043877148748)",1.0,177
176,"(261.30706462378066, 260.37084322754214)",1.01,177
177,"(262.30227068119575, 260.59116863465954)",1.02,177
178,"(263.31861380506103, 260.7675731324301)",1.03,178
179,"(264.3547500047742, 260.9022659170568)",1.04,178
180,"(265.40933528973267, 260.99745618474293)",1.06,178
181,"(266.4810256693341, 261.0553531316914)",1.07,178
182,"(267.568477152976, 261.0781659541054)",1.09,178
183,"(268.670345750056, 261.06810384818795)",1.1,178
184,"(269.7852874699716, 261.02737601014223)",1.12,179
185,"(270.9119583221204, 260.9581916361713)",1.13,179
186,"(272.0490143159001, 260.86275992247823)",1.14,179
187,"(273.19511146070795, 260.74329006526614)",1.15,179
188,"(274.34890576594177, 260.60199126073815)",1.16,179
189,"(275.5090532409991, 260.44107270509727)",1.17,179
190,"(276.67420989527744, 260.26274359454663)",1.18,179
191,"(277.8430317381744, 260.0692131252894)",1.18,179
192,"(279.0141747790875, 259.8626904935286)",1.19,179
193,"(280.1862950274143, 259.6453848954672)",1.19,180
194,"(281.3580484925524, 259.41950552730856)",1.19,180
195,"(282.5280911838995, 259.1872615852556)",1.19,180
196,"(283.695079110853, 258.9508622655115)",1.19,180
197,"(284.8576682828104, 258.71251676427926)",1.19,180
198,"(286.0145147091694, 258.474434277762)",1.18,180
199,"(287.1642743993276, 258.23882400216286)",1.17,180
200,"(288.30560336268246, 258.0078951336849)",1.16,180
201,"(289.4371576086316, 257.78385686853125)",1.15,180
202,"(290.55759314657263, 257.5689184029049)",1.14,180
203,"(291.6655659859031, 257.3652889330091)",1.13,179
204,"(292.7597321360203, 257.17517765504675)",1.11,179
205,"(293.8387476063223, 257.00079376522115)",1.09,179
206,"(294.90126840620627, 256.8443464597353)",1.07,179
207,"(295.94595054507, 256.70804493479227)",1.05,179
208,"(296.9714500323109, 256.5940983865952)",1.03,179
209,"(297.9764228773266, 256.50471601134706)",1.01,179
210,"(298.9595250895147, 256.4421070052511)",0.99,178
211,"(299.91941267827275, 256.4084805645104)",0.96,178
212,"(300.85474165299837, 256.4060458853279)",0.94,178
213,"(301.764168023089, 256.4370121639069)",0.91,178
214,"(302.64634779794227, 256.5035885964504)",0.88,177
215,"(303.49993698695573, 256.6079843791614)",0.86,177
216,"(304.32359159952705, 256.7524087082432)",0.84,177
217,"(305.1159676450536, 256.9390707798987)",0.81,176
218,"(305.8757211329331, 257.1701797903311)",0.79,176
219,"(306.6015080725631, 257.4479449357434)",0.78,176
220,"(307.2919844733412, 257.7745754123388)",0.76,175
221,"(307.94580634466485, 258.1522804163203)",0.76,175
222,"(308.56162969593174, 258.58326914389113)",0.75,175
223,"(309.1381105365393, 259.06975079125425)",0.75,175
224,"(309.6739048758851, 259.6139345546128)",0.76,175
225,"(310.167699919075, 260.21798685181886)",0.78,175
226,"(310.6198548812952, 260.8817812906382)",0.8,176
227,"(311.0332118401433, 261.6017867553579)",0.83,176
228,"(311.41081422900714, 262.3741960131574)",0.86,177
229,"(311.7557054812751, 263.1952018312155)",0.89,177
